2023-05-20 09:08:41 , udn , 日本一家冰淇淋公司推出一款全球最貴冰淇淋，每份售價88萬日圓（約新台幣20萬元），創下金氏世界紀錄。 , https://udn.com/news/story/6809/7178015?from=udn-ch1_breaknews-1-0-news
2023-05-20 09:14:47 , udn , 打敗20多國好手 高雄正義中學在世界機器人大賽奪冠 , https://udn.com/news/story/6898/7178027?from=udn-ch1_breaknews-1-0-news
2023-05-20 09:14:58 , udn , 高雄市正義中學機器人校隊赴美參加24屆ROBOFEST世界機器人大賽，克服時差及語言障礙，勇奪世界冠軍！ , https://udn.com/news/story/6898/7178027?from=udn-ch1_breaknews-1-0-news
2023-05-20 09:15:18 , udn , Chill！豐原漆藝館闖關領禮物、聽音樂 今前100名送野餐墊 , https://udn.com/news/story/7325/7178026?from=udn-ch1_breaknews-1-0-news
2023-05-20 09:15:29 , udn , 一起來野餐、闖關、聽音樂！今天上午9點，台中市豐原漆藝館前方大草坪舉辦「有愛無框 親子藝起來」活動，現場規劃中正公園與蝴... , https://udn.com/news/story/7325/7178026?from=udn-ch1_breaknews-1-0-news
2023-05-20 09:15:50 , udn , 國中會考家長陪考畫面再現 恐嚇信風波高雄加強校安巡邏 , https://udn.com/news/story/6925/7178025?from=udn-ch1_breaknews-1-0-news
2023-05-20 09:16:01 , udn , 112年國中教育會考登場，高雄今天氣溫攝氏29度。因是疫後首次開放家長陪考，考場除了緊張感外，也多了些溫馨味。高雄各考場... , https://udn.com/news/story/6925/7178025?from=udn-ch1_breaknews-1-0-news
2023-05-20 09:20:38 , udn , 愛情內心戲演不完星座！巨蟹唱「太委屈」、天蠍冷靜的「醋王」、處女是「福爾摩斯」 , https://udn.com/news/story/7268/7173959?from=udn-ch1_breaknews-1-0-news
2023-05-20 09:20:49 , udn , 許多星座在感情中容易上演內心小劇場，占星YouTuber安德魯的賤聲房分享影片「一談戀愛內心戲就爆棚演不完的星座」，建議可以參考太陽以及月亮星 , https://udn.com/news/story/7268/7173959?from=udn-ch1_breaknews-1-0-news
2023-05-20 09:26:20 , udn , G7擬應對中國經濟脅迫 陸駐英使館：美國最配戴這帽子 , https://udn.com/news/story/7331/7178032?from=udn-ch1_breaknews-1-0-news
2023-05-20 09:26:31 , udn , 依據大陸《環球網》報導，中國駐英國使館發言人就七國集團廣島峰會涉華問題答記者問時表示，我們對有關報導表示嚴重關切；七國集... , https://udn.com/news/story/7331/7178032?from=udn-ch1_breaknews-1-0-news
2023-05-20 09:26:52 , udn , 高中生之死怪同婚？律師：不要搞錯方向 2狀況分不到財產 , https://udn.com/news/story/123517/7178030?from=udn-ch1_breaknews-1-0-news
2023-05-20 09:27:03 , udn , 同婚合法化4周年，台中市1名18歲高中生與擔任地政士助理的男性登記結婚後2小時墜樓死亡，其母認為兒子繼承5億元遺產、疑遭... , https://udn.com/news/story/123517/7178030?from=udn-ch1_breaknews-1-0-news
2023-05-20 09:31:45 , udn , 影／「猜猜我是誰」騙婦面交36萬 警扮外送員逮17歲少年車手 , https://udn.com/news/story/7321/7178033?from=udn-ch1_breaknews-1-0-news
2023-05-20 09:31:56 , udn , 新北市游姓婦人前天接到詐騙集團以「猜猜我是誰」老哏，讓游婦以為是女兒來電，誆騙購屋要借36萬元，游婦一度為可幫女兒購屋感... , https://udn.com/news/story/7321/7178033?from=udn-ch1_breaknews-1-0-news
2023-05-20 09:32:17 , udn , 陳歐珀對手確定！國民黨將徵召縣議員黃琤婷投入宜蘭立委選戰 , https://udn.com/news/story/123475/7178034?from=udn-ch1_breaknews-1-0-news
2023-05-20 09:32:27 , udn , 國民黨宜蘭縣區域立委參選人至今尚未出爐，據了解，縣黨部9人小組將在今天下午開會討論後對外宣布，建請黨中央徵召縣議員黃琤婷... , https://udn.com/news/story/123475/7178034?from=udn-ch1_breaknews-1-0-news
2023-05-20 09:32:48 , udn , 照片看歷史／1966年蔣中正就任第四任總統 嚴家淦成首位文人副總統 , https://udn.com/news/story/7314/7176605?from=udn-ch1_breaknews-1-0-news
2023-05-20 09:32:59 , udn , 1966年5月20日，中華民國行憲後第四任總統、副總統宣誓就職，由時任司法院院長兼大法官會議主席謝冠生監誓。典禮歷時30分鐘。宣誓就職典禮是在21響禮炮及15個國家使節及2000餘政府官員，各界觀禮下舉行。 , https://udn.com/news/story/7314/7176605?from=udn-ch1_breaknews-1-0-news
2023-05-20 09:33:20 , udn , 閱讀數學／哪項基礎能力「目前」最不受到AI的影響 (下) , https://udn.com/news/story/6904/7175128?from=udn-ch1_breaknews-1-0-news
2023-05-20 09:33:30 , udn , 上週聊到OpenAI的一份報告，分析各職業在不同的前題下，受到AI的影響。其中，如果是以最廣泛的定義，在1016種職業中，有高達8.5%，總計86種職業被判定100%受到GPT或是GPT相關軟體的影響... , https://udn.com/news/story/6904/7175128?from=udn-ch1_breaknews-1-0-news
2023-05-20 09:34:53 , udn , 戀愛內心演小劇場星座！巨蟹唱「太委屈」、天蠍冷靜的「醋王」、處女根本「福爾摩斯」 , https://udn.com/news/story/7268/7173959?from=udn-ch1_breaknews-1-0-news
2023-05-20 09:37:55 , udn , 借車注意！新竹市、竹科YouBike1.0系統6月起停止營運 , https://udn.com/news/story/7324/7178040?from=udn-ch1_breaknews-1-0-news
2023-05-20 09:38:06 , udn , 新竹市與新竹科學園區都建置公共自行車YouBike，因應系統升級，微笑單車公司在官網發出最新公告，表示從6月1日起，新竹... , https://udn.com/news/story/7324/7178040?from=udn-ch1_breaknews-1-0-news
2023-05-20 09:38:58 , udn , 人選確定！國民黨將徵召縣議員黃琤婷投入宜蘭立委選戰 , https://udn.com/news/story/123475/7178034?from=udn-ch1_breaknews-1-0-news
2023-05-20 09:49:58 , udn , 巴西總統魯拉參加G7峰會 心情憂喜參半 , https://udn.com/news/story/123512/7178047?from=udn-ch1_breaknews-1-0-news
2023-05-20 09:50:08 , udn , 七大工業國集團（G7）峰會19日在日本廣島舉行，巴西總統魯拉帶著憂喜參半的心情與會，討論糧食安全、健康、發展以及俄烏戰爭... , https://udn.com/news/story/123512/7178047?from=udn-ch1_breaknews-1-0-news
2023-05-20 09:50:29 , udn , 台東關山東7線規畫戰備跑道 饒慶鈴：周邊都良田不支持 , https://udn.com/news/story/7327/7178057?from=udn-ch1_breaknews-1-0-news
2023-05-20 09:50:40 , udn , 台東縣關山鎮外環道「東7線」，日前被國防部評估為「戰備跑道」，引發當地民意反對，縣長饒慶鈴昨在議會表示，戰爭時糧食儲備也... , https://udn.com/news/story/7327/7178057?from=udn-ch1_breaknews-1-0-news
2023-05-20 09:51:01 , udn , 21歲男要錢遭拒 22刀刺死養他16年恩人 法院判他賠家屬1753萬 , https://udn.com/news/story/7321/7178055?from=udn-ch1_breaknews-1-0-news
2023-05-20 09:51:11 , udn , 男子李盈達2021年10月討錢不成，以水果刀猛刺養育他16年的楊姜姓老婦22刀致死，去年6月一審依強盜殺人罪判他無期徒刑... , https://udn.com/news/story/7321/7178055?from=udn-ch1_breaknews-1-0-news
2023-05-20 09:51:32 , udn , 影／字典內暗藏上膛槍彈 28歲男炫擁雙槍午睡迷糊被逮 , https://udn.com/news/story/7315/7178052?from=udn-ch1_breaknews-1-0-news
