2023-04-29 09:48:23 , udn , 新北市土城區當鋪，日前遭弘仁會當街掃射51槍，槍擊案幕後教唆「鯨魚」林京履逃往馬來西亞藏匿，昨天(28日)晚間被押回台灣，並於今天(29日)開始訊問。前立委黃國昌在臉書起底「鯨魚」的黑歷史。 , https://udn.com/news/story/7315/7131247?from=udn-ch1_breaknews-1-0-news
2023-04-29 09:48:43 , udn , 24歲淡大交換生誤食老鼠藥命危！ 家屬怒：台灣小吃害的 , https://udn.com/news/story/6812/7131258?from=udn-ch1_breaknews-1-0-news
2023-04-29 09:48:54 , udn , 24歲澳洲昆士蘭大學學生肖雷（Alex Shorey）去年到淡江大學交換，卻在4月初時不慎吃到老鼠藥，導致器官衰竭、呼吸... , https://udn.com/news/story/6812/7131258?from=udn-ch1_breaknews-1-0-news
2023-04-29 09:49:15 , udn , 打擊森林砍伐  巴西總統承諾劃定更多原住民領地 , https://udn.com/news/story/6812/7131242?from=udn-ch1_breaknews-1-0-news
2023-04-29 09:49:25 , udn , 巴西總統魯拉今天參加在巴西利亞舉行的原住民運動年度示威活動「第19屆自由土地營」閉幕式，他承諾在任內將盡可能劃定更多原住... , https://udn.com/news/story/6812/7131242?from=udn-ch1_breaknews-1-0-news
2023-04-29 09:54:00 , udn , 今天沒登記黨內初選釋好朱立倫? 原來柯文哲去跟大甲媽 , https://udn.com/news/story/6656/7131275?from=udn-ch1_breaknews-1-0-news
2023-04-29 09:54:10 , udn , 民眾黨主席柯文哲昨天自美返國，並在機場表示領表登記選總統「明天就會處理」。不過，柯文哲今天並沒有完成黨內登記，而是一早就... , https://udn.com/news/story/6656/7131275?from=udn-ch1_breaknews-1-0-news
2023-04-29 09:54:31 , udn , 陸委會批馬順應中共說詞 蕭旭岑：政府無能只會扯後腿 , https://udn.com/news/story/6656/7131276?from=udn-ch1_breaknews-1-0-news
2023-04-29 09:54:41 , udn , 前總統馬英九昨在希臘稱蔡英文總統的「互不隸屬說」違憲，遭到陸委會批評是失態且「順應中共的說詞」。馬英九基金會執行長蕭旭岑... , https://udn.com/news/story/6656/7131276?from=udn-ch1_breaknews-1-0-news
2023-04-29 09:55:02 , udn , 影／大甲媽遶境「一生要走一次」 3大理由吸引年輕人朝聖 , https://udn.com/news/story/7325/7131270?from=udn-ch1_breaknews-1-0-news
