2023-03-17 08:50:56 , udn , 台南中西區西寧街一棟3層建物昨天深夜傳出火警，3樓鐵皮加蓋後方的貯藏室冒出火舌，消防局勤務中心據報後派出大批人車趕往火場... , https://udn.com/news/story/7320/7037417?from=udn-ch1_breaknews-1-0-news
2023-03-17 08:52:43 , udn , 桑默斯：歐洲央行拉加德拿A+ 聯準會鮑爾下周應跟進 , https://udn.com/news/story/6811/7037370?from=udn-ch1_breaknews-1-0-news
2023-03-17 08:52:53 , udn , 前美國財長桑默斯讚賞歐洲央行總裁拉加德周四升息50基點，並表示聯準會下周應該以較小幅度的升息行動跟進。而接受彭博資訊訪調... , https://udn.com/news/story/6811/7037370?from=udn-ch1_breaknews-1-0-news
2023-03-17 08:56:16 , udn , 第一共和銀獲300億美元存款 美股收高 科技股表現亮眼 , https://udn.com/news/story/6811/7037350?from=udn-ch1_breaknews-1-0-news
2023-03-17 08:56:27 , udn , 第一共和銀行的一籃子救助計畫敲定，美國11家銀行同意聯合存入300億美元，促使金融股強勁反彈，而科技股表現亮眼，也襄助美... , https://udn.com/news/story/6811/7037350?from=udn-ch1_breaknews-1-0-news
2023-03-17 08:59:59 , udn , 玉山金開第一槍、國票金開第一砲…金融股還能存嗎？ 這2檔金控已「超跌」 , https://udn.com/news/story/7252/7037389?from=udn-ch1_breaknews-1-0-news
2023-03-17 09:00:09 , udn , 從去年開始無論網路還是報章雜誌上，各家都說今年金控公司的配息將不如以往，如果這兩三年才開始投資金控股的朋友們或許還想像不到這樣的情況，但說著說著，烏雲就飄到頭上來，也真正體會到股息塞不滿口袋的心情！ , https://udn.com/news/story/7252/7037389?from=udn-ch1_breaknews-1-0-news
2023-03-17 09:05:55 , udn , 影／超吸睛！英國警察「騎馬追捕開車講手機男子」畫面曝 , https://udn.com/news/story/6809/7037434?from=udn-ch1_breaknews-1-0-news
2023-03-17 09:06:06 , udn , 英國街頭近日出現吸睛一幕：2名騎著馬的警察追捕一名被發現在開車時使用手機的男子。 , https://udn.com/news/story/6809/7037434?from=udn-ch1_breaknews-1-0-news
2023-03-17 09:06:26 , udn , 地鐵著軍服女子暴打男子！叫囂：男人必須站著 坐的都是太監 , https://udn.com/news/story/7332/7037426?from=udn-ch1_breaknews-1-0-news
2023-03-17 09:06:37 , udn , 廣州地鐵有女子疑因座位問題，與一名男子發生爭執，期間更對男子重拳出擊，還叫囂稱「明天開始，所有的地鐵，男人必須站著」。對此，當地警方回應指，初步調查顯示，涉事女子是醉酒行為。不過，就未有通報處罰結果，有網民因此建議處以刑事拘留。 , https://udn.com/news/story/7332/7037426?from=udn-ch1_breaknews-1-0-news
2023-03-17 09:08:56 , udn , 專家爆「彈藥放台灣」只是前菜，台美軍事交流主菜是這？ , https://udn.com/news/story/10930/7037423?from=udn-ch1_breaknews-1-0-news
2023-03-17 09:09:06 , udn , 過去這段時間，台美軍事交流相當頻繁，除了國軍將在下半年以「營級」部隊規模赴美；美軍在台人數也將擴增逾3倍；另外國防部長邱國正也在立院證實，台美雙方正對美軍儲備彈藥移至台灣一事展開討論。在台美關係持續升溫下，不少人認為這三件事是剛上桌的小菜，真的主菜還在後頭。
震撼彈！3月6日，國防部在立院答詢，證實外媒日前爆料美軍「彈藥放台灣」傳言屬實。 , https://udn.com/news/story/10930/7037423?from=udn-ch1_breaknews-1-0-news
2023-03-17 09:09:26 , udn , 嘉義市鐵路高架工程發現日治時期火車轉車台遺構  暫時停工開挖 , https://udn.com/news/story/7326/7037437?from=udn-ch1_breaknews-1-0-news
2023-03-17 09:09:37 , udn , 嘉義市鐵路高架工程施工進度一半，鐵道局最近在後火車站工區，發現疑似日治時期火車轉運台遺構文物，文化局獲報深表重視，組專案... , https://udn.com/news/story/7326/7037437?from=udn-ch1_breaknews-1-0-news
2023-03-17 09:11:55 , udn , 疫後廉航票價回不去！虎航、酷航如何續創秒殺？ , https://udn.com/news/story/7266/7037424?from=udn-ch1_breaknews-1-0-news
2023-03-17 09:12:06 , udn , 疫情間低成本航空（廉航）歷經大洗牌，不少航空公司面臨倒閉、卻也有在疫情後站穩腳步的航空公司，包括申請創新板股票上市案通過的台灣虎航，與在台灣推出皮卡丘彩繪機的酷航，他們如何挺過疫情？另外，廉航如今票價不如以往便宜，他們又如何操作差異化，續創機票秒殺紀錄？
國際廉航三大衝擊：停運、合併、倒閉 , https://udn.com/news/story/7266/7037424?from=udn-ch1_breaknews-1-0-news
2023-03-17 09:14:56 , udn , 「鷹揚八卦」賞鷹市集  台化提供免費接駁公車及停車位 , https://udn.com/news/story/7325/7037442?from=udn-ch1_breaknews-1-0-news
2023-03-17 09:15:07 , udn , 到今年已走過30年的「鷹揚八卦」活動，今年擴大辦理，活動重頭戲是3月18到19日在芬園文德國小舉辦的南路鷹生態市集，在參... , https://udn.com/news/story/7325/7037442?from=udn-ch1_breaknews-1-0-news
2023-03-17 09:15:27 , udn , 美股急彈 台股觀察跌勢是否止穩 , https://udn.com/news/story/7251/7037430?from=udn-ch1_breaknews-1-0-news
2023-03-17 09:15:37 , udn , 瑞士信貸獲瑞士監管當局保證提供流動性，加上大銀行聯合伸援第一共和銀行，注資300億美元救火，帶動銀行股強力反彈，美股大幅... , https://udn.com/news/story/7251/7037430?from=udn-ch1_breaknews-1-0-news
2023-03-17 09:15:58 , udn , 日本書店的黯淡未來：隨著人口逐漸減少，書店正從日本街頭消失 , https://udn.com/news/story/6812/7037425?from=udn-ch1_breaknews-1-0-news
2023-03-17 09:16:08 , udn , 隨著少子化和智慧型手機的影響，日本的實體書店正面臨極大的挑戰。 , https://udn.com/news/story/6812/7037425?from=udn-ch1_breaknews-1-0-news
2023-03-17 09:17:30 , udn , 嘉義市鐵路高架工程發現日治時期火車轉車台遺構 暫時停工開挖 , https://udn.com/news/story/7326/7037437?from=udn-ch1_breaknews-1-0-news
2023-03-17 09:17:55 , udn , 《黑暗榮耀》現實版！3星座「超會復仇」千萬不要惹到他們 , https://udn.com/news/story/7268/7037418?from=udn-ch1_breaknews-1-0-news
2023-03-17 09:18:06 , udn , Netflix黑暗復仇大劇《黑暗榮耀》第二季《黑暗榮耀2》近日上線，引爆劇迷搶追，劇情講述了一名女子在高中時承受嚴重的校園暴力，倖存多年後，她著手實行精心規劃的復仇，要讓加害者為惡行付出代價，一連串的復仇也讓劇迷看得相當過癮，清水孟國際塔羅小孟老師也列出有三個星座你若是有惹到他，「最容易被復仇」，要特別當心了。 , https://udn.com/news/story/7268/7037418?from=udn-ch1_breaknews-1-0-news
2023-03-17 09:18:26 , udn , 夢醒時分驚AirPods不見了！他問「耳機吃進肚什麼感覺」 結局曝光笑歪人 , https://udn.com/news/story/122659/7035398?from=udn-ch1_breaknews-1-0-news
2023-03-17 09:18:37 , udn , 蘋果（Apple）AirPods耳機憑藉設計簡潔乾淨、音質良好擄獲了不少果粉的心，不少使用者有睡前戴著追劇的習慣，近日一名網友突然發現自己的AirPods消失不見，懷疑自己是否不慎吃下肚，求助網友「吞下耳機」的感覺是什麼，意外引起討論。 , https://udn.com/news/story/122659/7035398?from=udn-ch1_breaknews-1-0-news
2023-03-17 09:18:57 , udn , 水域救援不馬虎 新北消防啟動新進人員水域強化訓練 , https://udn.com/news/story/7320/7037446?from=udn-ch1_breaknews-1-0-news
2023-03-17 09:19:07 , udn , 新北市消防局於每年4月至10月會啟動水域安全機制，派遣大量警、義消及民間團體，於轄內各熱門戲水區域執行水域安全巡邏及駐點... , https://udn.com/news/story/7320/7037446?from=udn-ch1_breaknews-1-0-news
2023-03-17 09:24:02 , udn , SVB事件是投資人的大危機？兩個關鍵密碼解密 , https://udn.com/news/story/6811/7037386?from=udn-ch1_breaknews-1-0-news
2023-03-17 09:24:12 , udn , 受到加密貨幣銀行Silvergate停止營業、矽谷銀行(Silicon Valley Bank)破產倒閉遭監管，美國道瓊指數9、10日連續日兩天暴跌888點，跌破年線並創下去年11月以來新低，標普與那斯達克指數同步重挫。美股狂挫引發歐、亞等股市連挫，台股上周五遭外資大賣215億元，指數重挫244點，一口氣跌破月線，為新春開紅盤後急彈至年線，期待翻多的股市，狠狠的澆了冷水。 , https://udn.com/news/story/6811/7037386?from=udn-ch1_breaknews-1-0-news
2023-03-17 09:25:30 , udn , 他拍黑琵30年記錄生態奇蹟：想向世界證明台灣人很善良  , https://udn.com/news/story/7266/7037377?from=udn-ch1_breaknews-1-0-news
2023-03-17 09:25:40 , udn , 「撓坏撓坏飛啊飛，飛來府城王城西，飛到七股曾文溪，撓坏愛來咱土地。撓坏來自遙遠地，飛來寶島好做夥，停佇塭墘佮溪底，歇睏過冬食魚蝦，等到明年3、4月，補充體力通飛回……。」 , https://udn.com/news/story/7266/7037377?from=udn-ch1_breaknews-1-0-news
2023-03-17 09:26:01 , udn , 美元在歐洲央行升息後下跌 市場預期Fed下周跟進 , https://udn.com/news/story/6811/7037433?from=udn-ch1_breaknews-1-0-news
