2023-04-28 09:01:06 , udn , 美國最大晶片製造商英特爾周四公布財報時承諾下半年會復甦，讓投資人拋開令人失望的本季獲利預測，股價在盤後交易上漲6%。 , https://udn.com/news/story/6811/7128931?from=udn-ch1_breaknews-1-0-news
2023-04-28 09:02:25 , udn , 影／命大！新北醉男倒路中 一車閃過一車輾過...他幸運僅擦傷 , https://udn.com/news/story/7320/7128943?from=udn-ch1_breaknews-1-0-news
2023-04-28 09:06:22 , udn , 屏東海生館圖書館走出去 助縮短偏鄉教育教鄉差距 , https://udn.com/news/story/7327/7128956?from=udn-ch1_breaknews-1-0-news
2023-04-28 09:06:33 , udn , 屏東海生館是國內規模最大的海洋生物展示場，除了「前場」展示區外，以研究、教育為核心的「後場」，有座全國海洋專業圖書藏書量... , https://udn.com/news/story/7327/7128956?from=udn-ch1_breaknews-1-0-news
2023-04-28 09:06:53 , udn , 高鐵嘉義站連接嘉市聯外輕軌系統興建有譜 初步規畫藍圖曝光 , https://udn.com/news/story/7326/7128955?from=udn-ch1_breaknews-1-0-news
2023-04-28 09:07:04 , udn , 嘉義市長黃敏惠爭取興建高鐵嘉義站到嘉義市區輕軌系統，日前當面向交通部長王國材爭取，獲允諾辦理可行性評估補助，黃敏惠說，市... , https://udn.com/news/story/7326/7128955?from=udn-ch1_breaknews-1-0-news
2023-04-28 09:07:24 , udn , 才獲全國獎銅牌…高雄優秀高中生拿駕照剛滿月 騎新車自撞身亡 , https://udn.com/news/story/7320/7128948?from=udn-ch1_breaknews-1-0-news
2023-04-28 09:09:12 , udn , 女教師求載230公里「肉體抵車資」！備註加1要求更狂 司機秒搶單 , https://udn.com/news/story/7335/7128927?from=udn-ch1_breaknews-1-0-news
2023-04-28 09:09:22 , udn , 搭車沒錢，竟用「肉體」支付車資？大陸網路上近日瘋傳一張網約車訂單圖片，寧波一名女幼教（幼兒教育教師）於網上平台叫車，但因為身上沒錢，竟然想「肉體抵車資」，更在備註寫明「路上可以讓你X幾次」，推出10秒即吸引超過10名司機搶單，最終被「秒殺」，讓一眾司機大嘆「可惜沒搶到」。 , https://udn.com/news/story/7335/7128927?from=udn-ch1_breaknews-1-0-news
2023-04-28 09:09:43 , udn , 生日送男友驚喜！她開門目擊出軌親妹崩潰 被回嗆「幫驗證男人」 , https://udn.com/news/story/7272/7128930?from=udn-ch1_breaknews-1-0-news
2023-04-28 09:09:53 , udn , 勾引有伴侶的異性已經過分，如果和家人的伴侶齊齊出軌，就對家人造成莫大傷害。一名姐姐趁男友生日當日準備驚喜，計劃突然上門送上蛋糕，豈料最後有驚無喜，撞破男友和姐姐親妹發生關係，胞妹事後更以短訊「霸氣」回嗆，辯稱「幫忙驗證是不是好男人」，避免她「婚後再來後悔離婚」，氣到姐姐在網上公開事件大罵，引來大批網友留言加入討論，當中有人留言「男友下身癢，妹妹小三性格覺醒，願他們下輩子都有報應」。 , https://udn.com/news/story/7272/7128930?from=udn-ch1_breaknews-1-0-news
2023-04-28 09:10:14 , udn , 嘉義市殯葬園區啟動改造三部曲 聯外道路闢建完成擴建殯儀館 , https://udn.com/news/story/7326/7128958?from=udn-ch1_breaknews-1-0-news
