2023-03-21 08:47:37 , udn , 台南學童參加祭孔典禮 疑吃餐盒後嘔吐、腹瀉4人送醫 , https://udn.com/news/story/7266/7045132?from=udn-ch1_breaknews-1-0-news
2023-03-21 08:47:48 , udn , 台南市今天清晨在中西區孔廟舉行春季祭孔典禮，6名與會國小學童突出現身體不適，有嘔吐腹瀉等症狀 ，其中4名男童送醫治療 ，... , https://udn.com/news/story/7266/7045132?from=udn-ch1_breaknews-1-0-news
2023-03-21 08:48:08 , udn , 烏克蘭國防部：俄羅斯飛彈在克里米亞運輸過程中被摧毀 , https://udn.com/news/story/6809/7045134?from=udn-ch1_breaknews-1-0-news
2023-03-21 08:48:19 , udn , 烏克蘭國防部表示在被吞併的克里米亞（Crimea）北部發生的爆炸摧毀了「通過鐵路運輸的俄羅斯飛彈」。 , https://udn.com/news/story/6809/7045134?from=udn-ch1_breaknews-1-0-news
2023-03-21 08:53:37 , udn , MLB／張育成因簽證延遲報到 搶開季名單跟時間賽跑 , https://udn.com/news/story/6999/7045147?from=udn-ch1_breaknews-1-0-news
2023-03-21 08:53:48 , udn , 張育成的返美時間，將比紅襪球團預計的時程再推遲一些，總教練柯拉（Alex Cora）今天表示，張育成因簽證問題延遲行程，... , https://udn.com/news/story/6999/7045147?from=udn-ch1_breaknews-1-0-news
2023-03-21 08:56:37 , udn , 李晶晶、吳速玲曬機場時尚穿搭  超正美照讓人看傻眼 , https://udn.com/news/story/7270/7045148?from=udn-ch1_breaknews-1-0-news
2023-03-21 08:56:47 , udn , 同為40歲世代的「時尚媽咪」吳速玲和李晶晶日前受到時裝品牌MICHAEL KORS的邀請，前往海外參與活動，分別曬出機場... , https://udn.com/news/story/7270/7045148?from=udn-ch1_breaknews-1-0-news
2023-03-21 08:57:08 , udn , 3/21【早晨財經速解讀】聯準會慌了?瑞信ADR腰斬 六大央行出手撒美元 三月不升息? , https://udn.com/news/story/7251/7045142?from=udn-ch1_breaknews-1-0-news
2023-03-21 08:57:18 , udn , 美國股市周一收高，全球主管機關全面提振市場信心之下，銀行業的危機有所緩解，而最近金融動盪也讓市場猜測主要央行可能放慢升息腳步。 , https://udn.com/news/story/7251/7045142?from=udn-ch1_breaknews-1-0-news
2023-03-21 08:58:09 , udn , 元大銀行基隆分行全新開幕 提供基隆民眾優質完善金融服務 , https://udn.com/news/story/7239/7045137?from=udn-ch1_breaknews-1-0-news
2023-03-21 08:58:20 , udn , 為滿足全台各城市民眾優質完善的金融服務，元大銀行基隆分行於中正區義一路126號全新開幕，將提供國際港都-基隆地區民眾最有... , https://udn.com/news/story/7239/7045137?from=udn-ch1_breaknews-1-0-news
2023-03-21 08:59:36 , udn , 李晶晶、吳速玲曬機場時尚穿搭  超正美照讓網驚呼「這根本是女團吧？」   , https://udn.com/news/story/7270/7045148?from=udn-ch1_breaknews-1-0-news
2023-03-21 08:59:47 , udn , 同為40歲世代的「時尚媽咪」吳速玲和李晶晶日前受到時裝品牌MICHAEL KORS的邀請，前往海外參與活動，分別曬出機場穿搭造型。兩人皆一身休閒打扮，配上品牌經典包款，一副好萊塢女星要去度假的氛圍，超正美照曝光後，更讓網友驚呼「這根本是女團吧？」 , https://udn.com/news/story/7270/7045148?from=udn-ch1_breaknews-1-0-news
2023-03-21 09:03:10 , udn , 今天「春分」炎熱如夏天 春雨24日報到 , https://udn.com/news/story/7266/7045122?from=udn-ch1_breaknews-1-0-news
2023-03-21 09:07:40 , udn , 榮剛30周年廠慶 捐贈救護車回饋鄉里 , https://udn.com/news/story/7241/7045136?from=udn-ch1_breaknews-1-0-news
2023-03-21 09:07:41 , udn , 苗栗「南庄橙」回娘家 起手式期待部落特色產業開花結果 , https://udn.com/news/story/7324/7045114?from=udn-ch1_breaknews-1-0-news
